ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10001,29,29,29,29,29,29,29,29,29,29
10002,0,0,0,0,0,0,0,0,0,0
10003,0,0,0,0,0,0,0,0,0,0
10004,0,0,0,0,0,0,0,0,0,0
10005,0,0,10,26,0,0,11,0,15,0
10006,0,0,0,0,0,0,0,15,3,0
10007,0,0,0,26,0,0,0,0,0,0
10008,0,0,0,0,0,0,0,0,0,0
10009,0,11,0,11,0,0,0,0,0,0
10010,0,0,0,0,0,0,0,0,0,0
10011,0,0,0,0,0,0,0,0,0,29
10012,0,0,0,0,21,0,0,0,0,0
10013,0,0,0,0,0,0,0,0,0,0
10014,10,28,8,10,17,14,30,13,0,5
10015,0,11,0,0,10,0,14,0,0,0
10016,3,3,3,3,3,3,3,3,3,3
10017,20,0,0,0,5,0,0,16,0,0
10018,0,0,9,0,0,0,0,0,0,0
10019,18,34,22,0,16,0,17,11,38,8
10020,24,38,16,0,7,0,0,0,0,7
10021,18,18,18,18,18,18,18,18,18,18
10022,0,0,0,0,0,0,0,0,0,0
10023,24,24,24,24,24,24,24,24,24,24
10024,0,0,0,0,0,0,0,0,0,0
10025,0,0,0,0,0,0,0,0,0,26
10026,0,0,0,0,0,0,0,0,0,0
10027,15,15,15,15,15,15,15,15,15,15
10028,0,0,0,0,0,0,0,0,0,0
10029,0,0,0,0,0,0,0,0,0,0
10030,0,0,0,0,15,0,0,0,0,0
10031,14,14,14,14,14,14,14,14,14,14
10032,22,0,0,0,0,0,0,0,0,0
10033,1,1,1,1,1,1,1,1,1,1
10034,0,0,0,0,0,0,0,19,0,6
10035,3,3,18,3,8,3,3,3,3,3
10036,7,7,7,7,7,7,7,7,7,7
10037,0,0,0,0,0,0,0,0,0,0
10038,0,0,25,10,0,14,0,0,0,14
10039,30,0,0,18,0,17,21,0,0,0
10040,0,0,0,0,0,0,0,0,0,0
10041,0,0,0,0,0,0,0,0,0,0
10042,23,23,23,23,23,23,23,23,23,23
10043,0,0,0,0,0,0,0,0,0,0
10044,0,0,0,0,0,0,0,0,0,0
10045,0,0,0,0,0,0,0,0,0,0
10046,0,0,0,0,0,0,0,0,0,0
10047,0,0,0,19,0,0,0,0,0,0
10048,4,4,4,4,4,4,4,4,4,4
10049,1,1,1,1,1,6,1,1,1,1
10050,7,7,7,7,7,7,7,7,7,7
10051,0,0,0,0,0,0,0,0,0,0
10052,0,0,0,0,0,19,0,24,0,0
10053,9,9,9,9,9,9,9,9,9,9
10054,12,12,12,12,12,12,12,12,12,12
10055,0,0,0,0,0,0,0,0,0,0
10056,33,33,33,33,33,33,33,33,33,33
10057,14,14,14,14,14,14,14,14,14,14
10058,13,13,13,13,13,13,13,13,13,13
10059,0,0,0,0,0,0,0,0,0,11
10060,14,4,0,16,24,29,18,17,18,6
10061,0,0,0,0,0,0,0,0,0,0
10062,0,0,0,0,0,0,0,0,0,0
10063,0,0,2,0,0,0,0,0,0,0
10064,12,14,21,0,7,5,9,19,10,21
10065,0,0,17,20,0,0,0,0,29,0
10066,32,0,0,0,0,0,0,0,0,0
10067,0,0,0,0,0,0,0,0,0,0
10069,20,20,20,20,20,20,20,20,20,20
10070,0,0,0,0,0,0,0,0,5,0
10071,0,0,0,0,0,0,0,0,0,0
10072,0,0,0,0,0,0,0,0,0,12
10073,17,17,17,17,17,17,17,17,17,17
10074,44,19,0,29,20,17,0,11,0,0
10075,0,0,0,0,0,22,37,0,0,13
10076,0,0,0,0,16,0,0,0,0,9
10077,0,0,0,0,0,0,0,0,0,0
10078,0,0,0,0,0,3,0,0,0,0
10079,0,0,0,0,0,0,0,0,0,0
10080,0,0,0,0,0,0,0,0,15,0
10081,10,10,10,10,10,10,10,10,10,10
10082,0,0,0,0,0,0,0,0,0,0
10083,0,0,0,0,0,0,0,0,0,0
10084,0,0,0,0,0,14,0,0,0,0
10085,0,3,0,0,0,0,0,0,0,15
10086,0,0,0,0,0,0,0,0,0,17
10087,15,15,15,15,15,15,15,15,15,15
10088,13,13,13,13,13,13,13,13,13,13
10089,0,0,0,0,0,0,0,0,0,0
10090,0,0,0,0,0,0,0,0,0,0
10091,0,0,26,0,0,0,0,0,0,0
10092,0,0,0,0,0,0,0,0,0,0
10093,0,0,0,6,22,0,0,0,0,0
10094,28,0,0,0,0,26,0,12,0,14
10095,0,0,0,0,0,0,0,0,0,0
10096,0,0,0,13,0,0,0,0,0,0
10097,0,0,0,0,0,0,0,0,0,0
10098,0,0,0,0,0,0,0,0,0,0
10099,9,9,9,9,9,9,9,9,9,9
10100,0,0,0,0,0,0,0,0,0,0
10101,0,17,17,5,0,0,0,0,0,0
10102,3,3,3,3,3,3,3,3,3,3
10103,0,0,0,0,0,0,0,0,0,0
10104,23,23,23,23,23,23,23,23,23,23
10105,0,0,0,0,0,0,0,0,0,0
10106,6,6,6,6,6,6,6,6,6,6
10107,0,0,0,0,0,0,0,0,0,0
10108,0,0,0,12,0,15,0,0,9,0
10109,34,34,34,34,34,34,34,34,34,34
10110,0,0,0,0,0,0,0,0,0,0
10111,0,11,10,0,0,0,0,0,0,0
10112,0,17,33,9,5,0,54,30,0,0
10113,0,0,0,0,0,0,0,0,0,0
10114,0,0,0,0,0,0,25,21,0,0
10115,18,26,0,0,0,14,0,0,25,0
10116,0,0,0,0,0,0,0,0,0,0
10117,5,5,5,5,5,5,5,5,5,5
10118,8,8,8,8,8,8,8,8,8,8
10119,0,0,0,0,0,0,0,0,0,0
10120,0,0,0,0,0,0,9,11,0,6
10121,0,0,0,0,0,0,0,0,0,0
10122,0,0,0,0,0,0,0,0,0,0
10123,15,0,0,0,7,23,12,0,41,11
10124,0,0,0,0,0,0,0,0,0,0
10125,0,0,0,0,0,0,0,0,0,0
10126,25,25,25,25,25,25,25,25,25,25
10127,0,0,0,0,0,0,0,0,0,0
10128,9,9,14,9,9,9,9,11,9,9
10129,0,0,0,0,0,0,0,0,0,0
10130,0,0,0,0,0,0,0,11,0,0
10131,0,0,0,0,0,22,0,0,32,0
10132,0,0,0,0,0,0,0,0,0,0
10133,24,0,0,0,9,0,16,0,0,16
10134,24,24,24,24,24,24,24,24,24,24
10135,0,0,0,0,0,0,0,0,0,0
10136,0,0,0,0,0,0,0,0,0,0
10137,0,0,0,0,0,0,0,0,0,0
10138,0,19,0,0,0,0,0,0,0,0
10139,0,0,0,0,0,0,0,0,0,0
10140,0,13,0,0,0,0,19,0,20,16
10141,10,25,10,10,10,10,11,10,10,10
10142,0,0,17,0,0,0,0,18,0,0
10143,0,0,0,0,0,0,0,0,0,0
10144,0,0,0,0,0,0,0,0,0,0
10145,17,17,17,17,17,17,17,17,17,17
10146,0,0,0,0,0,0,0,0,0,0
10147,8,8,8,8,8,8,8,8,8,8
10148,0,0,0,0,0,0,0,0,37,0
10149,0,0,0,0,0,0,0,0,0,0
10150,0,0,0,0,0,0,0,0,0,0
10151,26,26,26,26,26,26,26,26,26,26
10152,0,0,0,0,0,0,0,0,0,0
10153,38,38,38,38,38,38,38,38,38,38
10154,0,0,0,0,0,0,0,0,0,0
10155,0,11,10,19,9,5,17,0,9,12
10156,8,18,0,0,0,0,0,0,11,0
10157,0,0,0,0,0,0,0,0,0,0
10158,0,0,0,0,0,0,0,0,0,0
10159,0,0,0,0,0,0,0,0,0,0
10160,31,31,31,31,31,31,31,31,31,31
10161,0,0,23,0,0,0,0,0,0,25
10162,25,25,25,25,25,25,25,25,25,25
10163,19,19,19,19,19,19,19,19,19,19
10164,21,0,25,13,0,4,32,0,27,0
10165,6,6,6,6,16,6,6,6,6,6
10166,0,14,0,0,0,3,7,0,25,27
10167,0,0,0,0,0,0,0,0,0,0
10168,0,0,0,0,0,0,0,0,0,0
10169,0,0,0,0,0,0,0,0,0,0
10170,0,0,0,14,0,0,0,0,0,0
10171,19,19,19,19,19,19,19,19,19,19
10172,35,18,18,18,18,18,18,18,34,18
10173,18,0,11,0,18,15,0,12,17,23
10174,10,0,10,25,20,0,19,20,33,16
10176,19,11,11,11,11,11,11,11,11,11
10177,18,18,18,18,18,18,18,18,18,18
10178,0,0,0,0,0,0,0,0,0,0
10179,0,0,0,0,11,0,0,14,0,0
10180,19,22,0,0,25,0,0,24,0,0
10181,6,0,0,0,0,0,0,0,0,0
10182,0,0,2,0,0,0,0,0,0,0
10183,0,0,0,0,0,0,0,0,0,0
10184,15,15,15,15,15,15,15,15,15,15
10185,10,10,10,10,10,10,10,10,10,10
