ST_CASE,VEH_NO,PER_NO,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10001,1,1,29,29,29,29,29,29,29,29,29,29
10002,1,1,0,0,0,0,0,0,0,0,0,0
10002,2,1,0,0,0,0,0,0,0,0,0,0
10002,3,1,0,0,0,0,0,0,0,0,0,0
10002,4,1,0,0,0,0,0,0,0,0,0,0
10003,1,1,0,0,0,0,0,0,0,0,0,0
10003,2,1,0,0,0,0,0,0,0,0,0,0
10004,1,1,0,0,0,0,0,0,0,0,0,0
10005,1,1,0,0,10,26,0,0,11,0,15,0
10006,1,1,0,0,0,0,0,0,0,0,0,0
10006,2,1,0,0,0,0,0,0,0,15,3,0
10007,0,1,0,0,0,26,0,0,0,0,0,0
10007,1,1,0,0,0,0,0,0,0,0,0,0
10008,1,1,0,0,0,0,0,0,0,0,0,0
10008,2,1,0,0,0,0,0,0,0,0,0,0
10009,1,1,0,11,0,0,0,0,0,0,0,0
10009,2,1,0,0,0,11,0,0,0,0,0,0
10010,1,1,0,0,0,0,0,0,0,0,0,0
10010,2,1,0,0,0,0,0,0,0,0,0,0
10011,1,1,0,0,0,0,0,0,0,0,0,0
10011,2,1,0,0,0,0,0,0,0,0,0,29
10012,1,1,0,0,0,0,0,0,0,0,0,0
10012,2,1,0,0,0,0,21,0,0,0,0,0
10013,0,1,0,0,0,0,0,0,0,0,0,0
10013,1,1,0,0,0,0,0,0,0,0,0,0
10014,1,1,10,28,8,10,17,14,30,13,0,5
10015,0,1,0,0,0,0,0,0,0,0,0,0
10015,1,1,0,11,0,0,10,0,14,0,0,0
10016,1,1,3,3,3,3,3,3,3,3,3,3
10016,2,1,0,0,0,0,0,0,0,0,0,0
10017,0,1,0,0,0,0,0,0,0,0,0,0
10017,1,1,0,0,0,0,5,0,0,16,0,0
10017,2,1,20,0,0,0,0,0,0,0,0,0
10018,1,1,0,0,0,0,0,0,0,0,0,0
10018,2,1,0,0,9,0,0,0,0,0,0,0
10019,1,1,18,34,22,0,16,0,17,11,38,8
