STATE,STATENAME,ST_CASE,VEH_NO,PER_NO,NMCC,NMCCNAME
1,Alabama,10007,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10007,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10007,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10013,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10015,0,1,13,Failing to Have Lights on When Required
1,Alabama,10015,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10017,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10017,0,1,11,"Dash - Run, No Visual Obstruction Noted"
1,Alabama,10017,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10029,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10029,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10035,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10038,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10038,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10041,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10041,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10044,0,1,0,None Noted
1,Alabama,10064,0,1,9,Wrong-Way Riding or Walking
1,Alabama,10065,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10069,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10088,0,1,9,Wrong-Way Riding or Walking
1,Alabama,10103,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10103,0,1,9,Wrong-Way Riding or Walking
1,Alabama,10104,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10104,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10112,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10112,0,1,9,Wrong-Way Riding or Walking
1,Alabama,10112,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10115,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10115,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10120,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10120,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10120,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10123,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10123,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10131,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10131,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10156,0,1,0,None Noted
1,Alabama,10162,0,1,6,"Inattentive (Talking, Eating, Etc.)"
1,Alabama,10162,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10162,0,2,6,"Inattentive (Talking, Eating, Etc.)"
1,Alabama,10162,0,2,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10169,0,1,0,None Noted
1,Alabama,10172,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10173,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10174,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10174,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10186,0,1,0,None Noted
1,Alabama,10190,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10195,0,1,99,Reported as Unknown
1,Alabama,10195,0,2,99,Reported as Unknown
1,Alabama,10195,0,3,99,Reported as Unknown
