STATE,STATENAME,ST_CASE,CRASHRF,CRASHRFNAME
1,Alabama,10001,0,None
1,Alabama,10002,0,None
1,Alabama,10003,0,None
1,Alabama,10004,0,None
1,Alabama,10005,0,None
1,Alabama,10006,0,None
1,Alabama,10007,0,None
1,Alabama,10008,0,None
1,Alabama,10009,0,None
1,Alabama,10010,0,None
1,Alabama,10011,0,None
1,Alabama,10012,0,None
1,Alabama,10013,0,None
1,Alabama,10014,0,None
1,Alabama,10015,0,None
1,Alabama,10016,0,None
1,Alabama,10017,0,None
1,Alabama,10018,0,None
1,Alabama,10019,0,None
1,Alabama,10020,0,None
1,Alabama,10021,0,None
1,Alabama,10022,13,Aggressive Driving / Road Rage by Non-contact Vehicle Driver
1,Alabama,10023,2,Shoulder Design or Condition
1,Alabama,10024,0,None
1,Alabama,10025,0,None
1,Alabama,10026,0,None
1,Alabama,10027,0,None
1,Alabama,10028,0,None
1,Alabama,10029,20,Police Pursuit Involved
1,Alabama,10030,0,None
1,Alabama,10031,27,Backup Due to Prior Crash
1,Alabama,10031,19,Recent/Previous Crash scene Nearby
1,Alabama,10032,0,None
1,Alabama,10033,0,None
1,Alabama,10034,19,Recent/Previous Crash scene Nearby
1,Alabama,10035,0,None
1,Alabama,10036,0,None
1,Alabama,10037,28,Regular Congestion
1,Alabama,10038,2,Shoulder Design or Condition
1,Alabama,10039,0,None
1,Alabama,10040,0,None
1,Alabama,10041,0,None
1,Alabama,10042,0,None
1,Alabama,10043,0,None
1,Alabama,10044,0,None
1,Alabama,10045,14,"Motor Vehicle struck by falling cargo,or something that came loose from or something that was set in motion by a vehicle"
1,Alabama,10046,0,None
1,Alabama,10047,20,Police Pursuit Involved
1,Alabama,10048,0,None
1,Alabama,10049,14,"Motor Vehicle struck by falling cargo,or something that came loose from or something that was set in motion by a vehicle"
1,Alabama,10050,0,None
1,Alabama,10051,0,None
1,Alabama,10052,0,None
1,Alabama,10053,0,None
1,Alabama,10054,0,None
1,Alabama,10055,0,None
1,Alabama,10056,0,None
1,Alabama,10057,0,None
1,Alabama,10058,0,None
1,Alabama,10059,0,None
1,Alabama,10060,0,None
1,Alabama,10061,0,None
1,Alabama,10062,0,None
1,Alabama,10063,0,None
1,Alabama,10064,0,None
1,Alabama,10065,0,None
1,Alabama,10066,0,None
1,Alabama,10067,0,None
1,Alabama,10069,0,None
1,Alabama,10070,0,None
1,Alabama,10071,0,None
1,Alabama,10072,0,None
1,Alabama,10073,0,None
1,Alabama,10074,0,None
1,Alabama,10075,0,None
1,Alabama,10076,0,None
1,Alabama,10077,0,None
1,Alabama,10078,0,None
1,Alabama,10079,0,None
1,Alabama,10080,0,None
1,Alabama,10081,0,None
1,Alabama,10082,0,None
1,Alabama,10083,0,None
1,Alabama,10084,0,None
1,Alabama,10085,0,None
1,Alabama,10086,0,None
1,Alabama,10087,20,Police Pursuit Involved
1,Alabama,10088,0,None
1,Alabama,10089,0,None
1,Alabama,10090,0,None
1,Alabama,10091,0,None
1,Alabama,10092,0,None
1,Alabama,10093,0,None
1,Alabama,10094,0,None
1,Alabama,10095,0,None
1,Alabama,10096,0,None
1,Alabama,10097,0,None
1,Alabama,10098,0,None
1,Alabama,10099,0,None
1,Alabama,10100,0,None
1,Alabama,10101,0,None
1,Alabama,10102,0,None
1,Alabama,10103,18,Date of Crash and Date of EMS Notification were not the same day
1,Alabama,10104,0,None
1,Alabama,10105,0,None
1,Alabama,10106,0,None
1,Alabama,10107,0,None
1,Alabama,10108,0,None
1,Alabama,10109,0,None
1,Alabama,10110,0,None
1,Alabama,10111,0,None
1,Alabama,10112,0,None
1,Alabama,10113,0,None
1,Alabama,10114,0,None
1,Alabama,10115,0,None
1,Alabama,10116,0,None
1,Alabama,10117,0,None
1,Alabama,10118,0,None
1,Alabama,10119,0,None
1,Alabama,10120,0,None
1,Alabama,10121,0,None
