STATE,STATENAME,ST_CASE,VEH_NO,PER_NO,PERSONRF,PERSONRFNAME
1,Alabama,10001,1,1,0,None
1,Alabama,10001,1,2,0,None
1,Alabama,10001,1,3,0,None
1,Alabama,10001,1,4,0,None
1,Alabama,10002,1,1,0,None
1,Alabama,10002,1,2,0,None
1,Alabama,10002,2,1,0,None
1,Alabama,10002,3,1,0,None
1,Alabama,10002,3,2,0,None
1,Alabama,10002,4,1,0,None
1,Alabama,10003,1,1,0,None
1,Alabama,10003,2,1,0,None
1,Alabama,10004,1,1,0,None
1,Alabama,10004,1,2,0,None
1,Alabama,10004,1,3,0,None
1,Alabama,10004,1,4,0,None
1,Alabama,10004,1,5,0,None
1,Alabama,10005,1,1,0,None
1,Alabama,10006,1,1,0,None
1,Alabama,10006,2,1,0,None
1,Alabama,10006,2,2,0,None
1,Alabama,10007,0,1,0,None
1,Alabama,10007,1,1,0,None
1,Alabama,10008,1,1,0,None
1,Alabama,10008,2,1,0,None
1,Alabama,10009,1,1,0,None
1,Alabama,10009,2,1,0,None
1,Alabama,10009,2,2,0,None
1,Alabama,10009,2,3,0,None
1,Alabama,10010,1,1,0,None
1,Alabama,10010,1,2,0,None
1,Alabama,10010,2,1,0,None
1,Alabama,10011,1,1,0,None
1,Alabama,10011,2,1,0,None
1,Alabama,10011,2,2,0,None
1,Alabama,10012,1,1,0,None
1,Alabama,10012,2,1,0,None
1,Alabama,10013,0,1,0,None
1,Alabama,10013,1,1,0,None
1,Alabama,10014,1,1,0,None
1,Alabama,10015,0,1,0,None
1,Alabama,10015,1,1,0,None
1,Alabama,10016,1,1,0,None
1,Alabama,10016,1,2,0,None
1,Alabama,10016,2,1,0,None
1,Alabama,10017,0,1,0,None
1,Alabama,10017,1,1,0,None
1,Alabama,10017,2,1,0,None
1,Alabama,10018,1,1,0,None
1,Alabama,10018,2,1,0,None
1,Alabama,10018,2,2,0,None
1,Alabama,10018,2,3,0,None
1,Alabama,10019,1,1,0,None
1,Alabama,10020,1,1,0,None
1,Alabama,10021,1,1,0,None
1,Alabama,10021,2,1,0,None
1,Alabama,10022,1,1,0,None
1,Alabama,10022,1,2,0,None
1,Alabama,10023,1,1,0,None
1,Alabama,10024,1,1,0,None
1,Alabama,10024,2,1,0,None
1,Alabama,10025,1,1,0,None
1,Alabama,10026,1,1,0,None
1,Alabama,10026,2,1,0,None
1,Alabama,10026,2,2,0,None
1,Alabama,10027,1,1,0,None
1,Alabama,10027,1,2,0,None
1,Alabama,10028,1,1,0,None
1,Alabama,10028,1,2,0,None
1,Alabama,10028,1,3,0,None
1,Alabama,10029,0,1,0,None
1,Alabama,10029,1,1,0,None
1,Alabama,10030,1,1,0,None
1,Alabama,10030,2,1,0,None
1,Alabama,10030,2,2,0,None
1,Alabama,10031,1,1,0,None
1,Alabama,10031,2,1,0,None
1,Alabama,10031,2,2,0,None
1,Alabama,10031,3,1,0,None
1,Alabama,10032,1,1,0,None
1,Alabama,10032,2,1,0,None
1,Alabama,10033,1,1,0,None
1,Alabama,10033,1,2,0,None
1,Alabama,10034,1,1,0,None
1,Alabama,10034,2,1,0,None
1,Alabama,10034,3,1,0,None
1,Alabama,10034,3,2,0,None
1,Alabama,10035,0,1,0,None
1,Alabama,10035,1,1,0,None
1,Alabama,10036,1,1,0,None
1,Alabama,10037,1,1,0,None
1,Alabama,10037,1,2,0,None
