STATE,STATENAME,ST_CASE,VEH_NO,PVE_FORMS,PNUMOCCS,PNUMOCCSNAME,PDAY,PDAYNAME,PMONTH,PMONTHNAME,PHOUR,PHOURNAME,PMINUTE,PMINUTENAME,PHARM_EV,PHARM_EVNAME,PMAN_COLL,PMAN_COLLNAME,PTYPE,PTYPENAME,PHIT_RUN,PHIT_RUNNAME,PREG_STAT,PREG_STATNAME,POWNER,POWNERNAME,PMAKE,PMAKENAME,PMODEL,PMAK_MOD,PBODYTYP,PBODYTYPNAME,PMODYEAR,PMODYEARNAME,PVIN,PVINNAME,PVIN_1,PVIN_2,PVIN_3,PVIN_4,PVIN_5,PVIN_6,PVIN_7,PVIN_8,PVIN_9,PVIN_10,PVIN_11,PVIN_12,PTRAILER,PTRAILERNAME,PMCARR_I1,PMCARR_I1NAME,PMCARR_I2,PMCARR_I2NAME,PMCARR_ID,PMCARR_IDNAME,PV_CONFIG,PV_CONFIGNAME,PCARGTYP,PCARGTYPNAME,PHAZ_INV,PHAZ_INVNAME,PHAZPLAC,PHAZPLACNAME,PHAZ_ID,PHAZ_IDNAME,PHAZ_CNO,PHAZ_CNONAME,PHAZ_REL,PHAZ_RELNAME,PBUS_USE,PBUS_USENAME,PSP_USE,PSP_USENAME,PEM_USE,PEM_USENAME,PUNDERIDE,PUNDERIDENAME,PIMPACT1,PIMPACT1NAME,PVEH_SEV,PVEH_SEVNAME,PTOWED,PTOWEDNAME,PM_HARM,PM_HARMNAME,PFIRE,PFIRENAME,PDEATHS,PTRLR1VIN,PTRLR1VINNAME,PTRLR2VIN,PTRLR2VINNAME,PTRLR3VIN,PTRLR3VINNAME,PVPICMAKE,PVPICMAKENAME,PVPICMODEL,PVPICMODELNAME,PVPICBODYCLASS,PVPICBODYCLASSNAME,PICFINALBODY,PICFINALBODYNAME,PGVWR_FROM,PGVWR_FROMNAME,PGVWR_TO,PGVWR_TONAME,PTRLR1GVWR,PTRLR1GVWRNAME,PTRLR2GVWR,PTRLR2GVWRNAME,PTRLR3GVWR,PTRLR3GVWRNAME
1,Alabama,10032,2,1,1,01,17,17,2,February,10,10:00am-10:59am,40,40,14,Parked Motor Vehicle,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,2,Motor Vehicle Not In-Transport Within the Trafficway,0,No,18,Indiana,6,Driverless/Motor Vehicle Parked/Stopped Off Roadway,82,Freightliner,881,Freightliner Medium/Heavy - CBE,66,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)",2019,2019,3AKJHHDRXKSK,3AKJHHDRXKSK,3,A,K,J,H,H,D,R,X,K,S,K,1,One Trailing Unit,57,US DOT,054283,054283,57054283,57054283,6,Truck Tractor/Semi-Trailer,1,Van/Enclosed Box,1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use,0,Not Applicable,0,No Underride or Override Noted,6,6 Clock Point,6,Disabling Damage,2,Towed Due to Disabling Damage,12,Motor Vehicle In-Transport,0,No or Not Reported,0,888888888888,Not Reported,777777777777,No Trailing Units,777777777777,No Trailing Units,450,Freightliner,13805,"New Cascadia 126"" Sleepercab",66,Truck-Tractor,0,Not Applicable,18,"Class 8: 33,001 lbs. and above (14,969 kg and above)",18,"Class 8: 33,001 lbs. and above (14,969 kg and above)",98,Not Reported,77,No Trailing Units,77,No Trailing Units
1,Alabama,10168,2,1,2,02,23,23,4,April,11,11:00am-11:59am,14,14,14,Parked Motor Vehicle,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,2,Motor Vehicle Not In-Transport Within the Trafficway,0,No,1,Alabama,6,Driverless/Motor Vehicle Parked/Stopped Off Roadway,12,Ford,3,Ford Mustang/Mustang II,2,"2-door sedan,hardtop,coupe",1997,1997,1FALP404XVF1,1FALP404XVF1,1,F,A,L,P,4,0,4,X,V,F,1,0,No Trailing Units,0,Not Applicable,000000000,Not Applicable,00000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use,0,Not Applicable,0,No Underride or Override Noted,6,6 Clock Point,6,Disabling Damage,2,Towed Due to Disabling Damage,12,Motor Vehicle In-Transport,0,No or Not Reported,2,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,460,Ford,1781,Mustang,3,Coupe,0,Not Applicable,11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",77,No Trailing Units,77,No Trailing Units,77,No Trailing Units
1,Alabama,10168,3,1,0,None,23,23,4,April,11,11:00am-11:59am,14,14,14,Parked Motor Vehicle,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,2,Motor Vehicle Not In-Transport Within the Trafficway,0,No,1,Alabama,6,Driverless/Motor Vehicle Parked/Stopped Off Roadway,37,Honda,31,"Honda Civic/CRX, del Sol",4,"4-door sedan, hardtop",2016,2016,19XFC2F50GE0,19XFC2F50GE0,1,9,X,F,C,2,F,5,0,G,E,0,0,No Trailing Units,0,Not Applicable,000000000,Not Applicable,00000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use,0,Not Applicable,0,No Underride or Override Noted,6,6 Clock Point,6,Disabling Damage,2,Towed Due to Disabling Damage,12,Motor Vehicle In-Transport,0,No or Not Reported,0,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,474,Honda,1863,Civic,13,Sedan/Saloon,0,Not Applicable,11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",77,No Trailing Units,77,No Trailing Units,77,No Trailing Units
1,Alabama,10341,2,1,0,None,22,22,6,June,2,2:00am-2:59am,20,20,32,Culvert,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,3,Motor Vehicle Not In-Transport Outside the Trafficway,0,No,1,Alabama,6,Driverless/Motor Vehicle Parked/Stopped Off Roadway,34,BMW,34,BMW 3-series,4,"4-door sedan, hardtop",2006,2006,WBAVB13556KX,WBAVB13556KX,W,B,A,V,B,1,3,5,5,6,K,X,0,No Trailing Units,0,Not Applicable,000000000,Not Applicable,00000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use,0,Not Applicable,0,No Underride or Override Noted,98,Not Reported,9,Reported as Unknown,5,Not Towed,12,Motor Vehicle In-Transport,0,No or Not Reported,0,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,452,BMW,2764,325i,13,Sedan/Saloon,0,Not Applicable,11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",77,No Trailing Units,77,No Trailing Units,77,No Trailing Units
1,Alabama,10341,3,1,0,None,22,22,6,June,2,2:00am-2:59am,20,20,32,Culvert,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,3,Motor Vehicle Not In-Transport Outside the Trafficway,0,No,1,Alabama,6,Driverless/Motor Vehicle Parked/Stopped Off Roadway,7,Dodge,422,Dodge Durango (2004 on; see 402 for 1998-2003 models),15,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",2015,2015,1C4RDHAG1FC8,1C4RDHAG1FC8,1,C,4,R,D,H,A,G,1,F,C,8,0,No Trailing Units,0,Not Applicable,000000000,Not Applicable,00000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use,0,Not Applicable,0,No Underride or Override Noted,98,Not Reported,9,Reported as Unknown,5,Not Towed,12,Motor Vehicle In-Transport,0,No or Not Reported,0,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,476,Dodge,3508,Durango,7,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),0,Not Applicable,12,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",12,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",77,No Trailing Units,77,No Trailing Units,77,No Trailing Units
1,Alabama,10352,2,1,2,02,22,22,7,July,15,3:00pm-3:59pm,11,11,14,Parked Motor Vehicle,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,2,Motor Vehicle Not In-Transport Within the Trafficway,0,No,1,Alabama,6,Driverless/Motor Vehicle Parked/Stopped Off Roadway,85,Kenworth,881,Kenworth Medium/Heavy - CBE,63,"Single-unit straight truck or Cab-Chassis (GVWR greater than 26,000 lbs.)",2020,2020,1NKZX4TX9LJ3,1NKZX4TX9LJ3,1,N,K,Z,X,4,T,X,9,L,J,3,0,No Trailing Units,88,None,888888888,None,88888888888,None,2,Single-Unit Truck (3 or more axles),4,Dump,1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use,0,Not Applicable,0,No Underride or Override Noted,6,6 Clock Point,6,Disabling Damage,2,Towed Due to Disabling Damage,12,Motor Vehicle In-Transport,0,No or Not Reported,0,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,532,Kenworth,2734,T880,11,Truck,0,Not Applicable,18,"Class 8: 33,001 lbs. and above (14,969 kg and above)",18,"Class 8: 33,001 lbs. and above (14,969 kg and above)",77,No Trailing Units,77,No Trailing Units,77,No Trailing Units
1,Alabama,10618,2,1,0,None,7,7,10,October,0,0:00am-0:59am,36,36,33,Curb,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,3,Motor Vehicle Not In-Transport Outside the Trafficway,0,No,1,Alabama,6,Driverless/Motor Vehicle Parked/Stopped Off Roadway,7,Dodge,880,"Dodge Medium/Heavy Pickup (pickup-style only - over 10,000 lbs)",67,"Medium/heavy Pickup (GVWR greater than 10,000 lbs.)",2019,2019,3C63R3RL9KG5,3C63R3RL9KG5,3,C,6,3,R,3,R,L,9,K,G,5,0,No Trailing Units,88,None,888888888,None,88888888888,None,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",97,Other,1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use,0,Not Applicable,0,No Underride or Override Noted,13,Top,6,Disabling Damage,9,Reported as Unknown,12,Motor Vehicle In-Transport,0,No or Not Reported,0,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,496,Ram,13622,3500,60,Pickup,0,Not Applicable,13,"Class 3: 10,001 - 14,000 lbs. (4,536 - 6,350 kg)",13,"Class 3: 10,001 - 14,000 lbs. (4,536 - 6,350 kg)",77,No Trailing Units,77,No Trailing Units,77,No Trailing Units
1,Alabama,10618,3,1,0,None,7,7,10,October,0,0:00am-0:59am,36,36,33,Curb,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,3,Motor Vehicle Not In-Transport Outside the Trafficway,0,No,1,Alabama,6,Driverless/Motor Vehicle Parked/Stopped Off Roadway,7,Dodge,463,Dodge Ram Promaster,21,"Large Van-Includes van-based buses (B150-B350, Sportsman, Royal Maxiwagon, Ram, Tradesman,...)",2020,2020,3C6TRVDG3LE1,3C6TRVDG3LE1,3,C,6,T,R,V,D,G,3,L,E,1,0,No Trailing Units,0,Not Applicable,000000000,Not Applicable,00000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use,0,Not Applicable,0,No Underride or Override Noted,12,12 Clock Point,2,Minor Damage,5,Not Towed,12,Motor Vehicle In-Transport,0,No or Not Reported,0,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,496,Ram,13628,Promaster 2500,95,Cargo Van,0,Not Applicable,12,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",12,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",77,No Trailing Units,77,No Trailing Units,77,No Trailing Units
1,Alabama,10622,2,1,0,None,9,9,10,October,15,3:00pm-3:59pm,29,29,14,Parked Motor Vehicle,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,3,Motor Vehicle Not In-Transport Outside the Trafficway,0,No,1,Alabama,6,Driverless/Motor Vehicle Parked/Stopped Off Roadway,49,Toyota,482,Toyota Tundra,34,Light Pickup,2005,2005,5TBDT48125S4,5TBDT48125S4,5,T,B,D,T,4,8,1,2,5,S,4,0,No Trailing Units,0,Not Applicable,000000000,Not Applicable,00000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use,0,Not Applicable,0,No Underride or Override Noted,6,6 Clock Point,9,Reported as Unknown,5,Not Towed,12,Motor Vehicle In-Transport,0,No or Not Reported,0,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,448,Toyota,2467,Tundra,60,Pickup,0,Not Applicable,12,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",12,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",77,No Trailing Units,77,No Trailing Units,77,No Trailing Units
1,Alabama,10694,2,1,1,01,7,7,12,December,11,11:00am-11:59am,10,10,14,Parked Motor Vehicle,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,2,Motor Vehicle Not In-Transport Within the Trafficway,0,No,48,Texas,6,Driverless/Motor Vehicle Parked/Stopped Off Roadway,82,Freightliner,881,Freightliner Medium/Heavy - CBE,66,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)",2002,2002,1FUJBBCG62LJ,1FUJBBCG62LJ,1,F,U,J,B,B,C,G,6,2,L,J,1,One Trailing Unit,57,US DOT,2039050,2039050,572039050,572039050,6,Truck Tractor/Semi-Trailer,1,Van/Enclosed Box,1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use,0,Not Applicable,0,No Underride or Override Noted,6,6 Clock Point,4,Functional Damage,5,Not Towed,12,Motor Vehicle In-Transport,0,No or Not Reported,0,888888888888,Not Reported,777777777777,No Trailing Units,777777777777,No Trailing Units,450,Freightliner,2742,CST120,66,Truck-Tractor,0,Not Applicable,18,"Class 8: 33,001 lbs. and above (14,969 kg and above)",18,"Class 8: 33,001 lbs. and above (14,969 kg and above)",98,Not Reported,77,No Trailing Units,77,No Trailing Units
