STATE,STATENAME,ST_CASE,VEH_NO,PVEHICLESF,PVEHICLESFNAME
1,Alabama,10032,2,0,None
1,Alabama,10168,2,0,None
1,Alabama,10168,3,0,None
1,Alabama,10341,2,0,None
1,Alabama,10341,3,0,None
1,Alabama,10352,2,0,None
1,Alabama,10618,2,0,None
1,Alabama,10618,3,0,None
1,Alabama,10622,2,0,None
1,Alabama,10694,2,0,None
1,Alabama,10700,2,0,None
1,Alabama,10704,2,0,None
1,Alabama,10725,2,0,None
1,Alabama,10733,2,0,None
1,Alabama,10733,3,0,None
1,Alabama,10787,2,0,None
1,Alabama,10849,2,0,None
1,Alabama,10859,2,0,None
2,Alaska,20048,2,42,"Other Working Vehicle (Not Construction, Maintenance, Utility, Police, Fire, or EMS Vehicle)"
2,Alaska,20055,2,0,None
4,Arizona,40016,2,0,None
4,Arizona,40019,2,0,None
4,Arizona,40119,2,0,None
4,Arizona,40191,2,0,None
4,Arizona,40205,2,0,None
4,Arizona,40220,2,0,None
4,Arizona,40231,2,0,None
4,Arizona,40231,3,0,None
4,Arizona,40261,2,0,None
4,Arizona,40317,2,0,None
4,Arizona,40321,2,0,None
4,Arizona,40367,2,42,"Other Working Vehicle (Not Construction, Maintenance, Utility, Police, Fire, or EMS Vehicle)"
4,Arizona,40367,3,0,None
4,Arizona,40399,2,0,None
4,Arizona,40400,2,0,None
4,Arizona,40407,2,0,None
4,Arizona,40444,3,0,None
4,Arizona,40451,2,0,None
4,Arizona,40540,2,0,None
4,Arizona,40643,2,0,None
4,Arizona,40646,2,41,"Police, Fire, or EMS Vehicle Working at the Scene of an Emergency or Performing Other Traffic Control Activities"
4,Arizona,40646,3,0,None
4,Arizona,40701,2,0,None
4,Arizona,40737,2,0,None
4,Arizona,40750,2,0,None
4,Arizona,40807,2,0,None
4,Arizona,40842,2,0,None
4,Arizona,40842,3,0,None
4,Arizona,40844,2,0,None
4,Arizona,40952,3,0,None
5,Arkansas,50055,2,0,None
5,Arkansas,50094,1,0,None
